epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,1835,0,1.626341647283258,0.5587368017711168,5.680879428533006,0.27725272535044904,1.53400888944927,0.5918612938596491,4.891433108424274,0.2545954002858322,1
1,3670,0,1.5094692340663733,0.5952501277247959,4.72365464359064,0.2541458364285866,1.4694916097741377,0.5788843201754388,4.575821311030778,0.2343018662885665,2
2,5505,0,1.3957198574692418,0.617137900204361,4.2092063691587285,0.23590415881600782,1.3173294556768318,0.6359882127192983,3.912646161466231,0.20184828028772608,3
3,7340,0,1.3168347866073942,0.6383431965258851,3.876834840389838,0.22280367231784648,1.282487720564792,0.6413678728070176,3.7755365515810473,0.2011490494425888,4
4,9175,0,1.2852728493207157,0.6454868443460487,3.755340329812352,0.21737974112104852,1.2819218742220024,0.6442667214912281,3.7784170785421454,0.1908825354177777,5
5,11010,0,1.2622835850845566,0.6504561903950945,3.6666819894052107,0.21377639704200183,1.2673666853653758,0.6515200109649126,3.7299041269099287,0.18558355929962486,6
6,12845,0,1.2415392114940715,0.6545663743188015,3.5821700317264114,0.21056257397158934,1.265551745891571,0.647735745614035,3.718800410785818,0.18449644125494077,7
7,14680,0,1.2215856948080765,0.6583312755449593,3.502460108426795,0.20770160689769393,1.2525577149893108,0.6539925986842104,3.668836123000648,0.18765761458041072,8
8,16515,0,1.200609288878272,0.6621685541553122,3.43155358538751,0.20459535499363926,1.2461165051711234,0.6524396929824562,3.6316129870997416,0.21094667352527055,9
9,18350,0,1.1753395850392063,0.6663362142370577,3.3337478633883504,0.20131286588494937,1.2620833321621543,0.6541981907894735,3.7106899020034856,0.17754717682332227,10
10,20185,0,1.146618302089317,0.6711927367166226,3.2405519216391485,0.19722700661100268,1.2683856079452915,0.654989035087719,3.7540579312672078,0.1731958798252442,11
11,22020,0,1.1129552842485808,0.6783491570163493,3.116847404054434,0.192313047119144,1.2909625517694574,0.6514309210526317,3.8286473738086695,0.170621851961692,12
12,23855,0,1.0754453160457456,0.6857669873978209,3.000306887217406,0.18697655162682011,1.3176006586928117,0.6512129934210525,3.965749415298745,0.16055181618657177,13
13,25690,0,1.03277858398266,0.6958676771117155,2.863426873685933,0.18018873612122627,1.3241781278660423,0.6490035635964911,3.9838400717025713,0.16322716191107267,14
14,27525,0,0.9850763842747712,0.7073865378065388,2.731949487130188,0.17273311551673032,1.3571948766708375,0.6509347587719297,4.15809130638516,0.15463718934874698,15
15,29360,0,0.9321066970721252,0.7196468409400544,2.5834556360285315,0.164484057767142,1.401738301076387,0.6390035635964914,4.351949041081294,0.15148439790555449,16
16,31195,0,0.8806771732318629,0.7331166978882832,2.449722833177163,0.15550507832263538,1.4170519646845365,0.6373506030701753,4.457039511930954,0.1507875073753247,17
17,33030,0,0.8281894852744786,0.746964620231608,2.320639839264189,0.14654667641942948,1.4771326115256862,0.6364583333333333,4.774882149018624,0.13828181248561558,18
18,34865,0,0.7758164831825433,0.7611918852179828,2.2002563871712746,0.13760915979807697,1.5147990220471432,0.6376754385964913,4.968523549761542,0.13481425253852328,19
19,36700,0,0.7289373395228581,0.7737014645776564,2.0968229905519067,0.12952988803923046,1.5271145199474536,0.6360896381578947,5.041162642948573,0.12737592776081838,20
20,38535,0,0.6782969683652353,0.7881166978882854,1.9906693764662649,0.12059010925910003,1.6302133986824436,0.6306647478070174,5.712958442618767,0.11646070592014644,21
21,40370,0,0.6354142392688616,0.8004796066076286,1.9066530471561374,0.11313048852010421,1.6500595594707288,0.6329180372807016,5.818732898311349,0.11668915101995814,22
22,42205,0,0.5949740674904972,0.8121574846730241,1.829453269542755,0.10577288406982305,1.7320173282372324,0.6350041118421049,6.3240955072315845,0.10097116447641327,23
23,44040,0,0.5573788609589153,0.8236452656675752,1.7608612121781757,0.09900901930808448,1.744459711250506,0.633345668859649,6.525155222972166,0.1032261750535999,24
24,45875,0,0.5218659670135306,0.8342836767711178,1.698352472225873,0.09276973920000703,1.809699219151547,0.6319449013157897,6.992500478028189,0.09971492072360995,25
25,47710,0,0.48801728113470677,0.8447090003406001,1.6411250959452912,0.08666756040908138,1.8748822463186163,0.6330071271929821,7.466764765232932,0.09488941227019995,26
26,49545,0,0.45930750420372884,0.8535450017029975,1.593752945758183,0.08115222600234978,1.9245265383469432,0.6269092653508773,7.9559874576559935,0.09239823459085564,27
27,51380,0,0.4296549133936131,0.8625808923705693,1.5460198278018003,0.07580364119909662,1.984811470383092,0.6300712719298245,8.544977055825468,0.08225461587122769,28
